,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Chile,"14,690",5.02,"31,277.63",910.59,3.27,13.83,-,,0,,Chile,"14,300.00",0,"26,363.84",2300,0,100,0,,
China,"1,732,860","11,717.30","1,751,701.14","34,593.90","617,875.60","3,196.92","250,588",,0,,China,"1,790,700.00","11,700.00","1,084,213.09",58400,295500,12800,"34,174.36",,"8,500.00"
"China, Hong Kong SAR",,,0,-,-,-,-,,0,,"China, Hong Kong SAR",,,0,,,,0,,
"China, Macao SAR",,,0,-,-,-,-,,0,,"China, Macao SAR",,,0,,,,0,,
Colombia,"51,305","4,189.72","479,459.81","9,528.06","11,107.27","2,268.43",-,,0,,Colombia,"49,100.00","31,700.00","129,114.73",20800,33400,5400,0,,
Comoros,"10,215.30","34,835.70",14.26,140.45,316.33,203.39,-,,184.88,,Comoros,"14,600.00","14,800.00","1,257.19",200,700,400,0,,"1,200.00"
Congo,"57,707","291,255.00","244,565.50","1,578.52","1,444.99",710.22,"10,724",,"5,204.37",,Congo,"51,900.00","142,700.00","249,352.51",3200,4000,1400,"9,736.93",2200,"5,800.00"
Cook Islands,,,0,-,-,-,-,,0,,Cook Islands,,,0,,,,0,,
Costa Rica,"2,497",2.92,"8,818.84",393.53,"2,119.77",30.06,-,,61.1,,Costa Rica,"2,100.00",0,"8,148.67",700,3500,200,0,,
Cote d Ivoire,"260,347","2,301,580.00","1,200,273.54","1,134.11","6,548.23",329.83,"69,761",,"49,678.38",,Cote d Ivoire,"276,800.00","1,332,700.00",0,,,,0,,"25,300.00"
Croatia,"3,537",3.51,977.07,-,-,-,-,,0,,Croatia,"2,300.00",0,339.83,,,,0,,
Cuba,"3,287",8.48,"21,117.20",871.31,"1,961.08",27.35,-,,0,,Cuba,"1,700.00",0,"18,930.69",2300,7800,100,0,,
CuraAsao,,,0,-,-,-,-,,0,,CuraAsao,,,0,,,,0,,
Cyprus,121,0.35,587.52,-,-,-,-,,0,,Cyprus,100,0,299.22,,,,0,,
Czech Republic,"2,796",9.36,982.03,-,-,-,-,,0,,Czech Republic,"1,900.00",0,830.8,,,,0,,
Democratic People's Republic of Korea,"173,864",31.99,"9,291.26","1,861.96",923.19,-,-,,0,,Democratic People's Republic of Korea,"119,900.00",100,0,,,,0,,
Democratic Republic of the Congo,"1,754,630","8,244,140.00","2,734,090.23","18,821.92","24,432.30","4,615.53","141,918",,"10,056.32",,Democratic Republic of the Congo,"1,591,100.00","3,552,400.00","1,842,805.51",,,,"186,238.39",545200,"100,200.00"
Denmark,"1,032",1.7,"2,848.64",-,-,-,-,,0,,Denmark,900,0,"1,979.52",,,,0,,
Djibouti,"11,211","12,312.80","53,315.59",21.08,59.42,77.54,"2,187",,0,,Djibouti,"14,700.00","27,800.00","45,517.15",200,100,100,387.39,,
Dominica,78,0.06,363.23,0,0.67,-,-,,0,,Dominica,100,0,285.22,0,0,,0,,
Dominican Republic,"20,861",751.81,"99,618.31",6.02,173,-,"3,275",,79.51,,Dominican Republic,"18,000.00","1,000.00","222,676.45",,,,"1,286.76",,300
Ecuador,"37,794","1,660.47","82,083.07","3,493.79",735.85,"1,619.44",-,,0,,Ecuador,"40,600.00","2,100.00","46,165.94",9900,1800,7800,0,,
Egypt,"83,147",20.95,"20,930.84","1,953.03","4,636.98",1.66,"105,965",,"4,776.83",,Egypt,"37,000.00",500,"6,396.17",1400,17300,0,"58,360.65",,400
El Salvador,"5,038",6.96,"30,221.68",95.8,"1,624.16",18.42,-,,0,,El Salvador,"3,700.00",0,"8,998.80",100,4400,200,0,,
Equatorial Guinea,"6,352","56,109.00","65,337.20",393.73,220.38,131.98,98,,754.42,,Equatorial Guinea,"11,300.00","51,100.00","74,776.65",1100,600,300,579.23,1700,"1,000.00"
Eritrea,"114,905","208,190.00","92,497.79",141.34,220.64,89.72,"20,440",,0,,Eritrea,"130,100.00","133,000.00","63,552.79",1100,400,100,"4,191.41",,"11,000.00"
Estonia,"1,797",4.33,"13,431.33",-,-,-,-,,0,,Estonia,"1,600.00",0,"2,268.19",,,,0,,
Ethiopia,"1,754,220","2,609,710.00","1,317,544.95","9,005.56","18,221.71","4,877.98","244,598",,"2,745.17",,Ethiopia,"1,897,900.00","1,524,400.00","1,596,299.27",28800,53500,9000,"213,435.87",34600,"85,100.00"
Fiji,"1,892",27.3,"1,127.68",158.14,"1,444.75",356.17,-,,98.18,,Fiji,"1,400.00",0,540.71,500,1800,2200,0,,500
Finland,"1,475",1.69,"1,224.48",-,-,-,-,,0,,Finland,"1,200.00",0,459.32,,,,0,,
France,"20,140",18,"48,908.14",-,-,-,-,,0,,France,"18,600.00",0,"23,698.16",,,,0,,
French Polynesia,,,0,-,-,-,-,,0,,French Polynesia,,,0,,,,0,,
Gabon,"14,464","78,300.70","117,337.90",585.59,414.7,309.74,"5,520",,"1,173.70",,Gabon,"23,900.00","65,400.00","85,440.91",1100,1300,700,"3,151.40",,"2,900.00"
Gambia,"15,475","77,000.00","46,858.82",9.5,182.4,0.16,"2,065",,"2,661.34",,Gambia,,,0,,,,0,,"2,200.00"
Georgia,"13,818",5.7,"5,819.66",43.5,4.62,-,-,,0,,Georgia,"9,800.00",0,"2,229.11",0,0,,0,,
Germany,"14,917",27.25,"29,224.36",-,-,-,-,,0,,Germany,"11,700.00",0,"30,404.56",,,,0,,
Ghana,"154,629","1,548,960.00","886,553.78",488.01,"1,888.75",4.33,"131,862",,"32,672.79",,Ghana,"143,900.00","1,215,800.00","911,423.57",2600,3800,0,"40,730.07",,"16,900.00"
Greece,"2,564",4.3,"26,674.08",-,-,-,-,,0,,Greece,"3,400.00",0,"2,626.97",,,,0,,
Greenland,64,,85.58,-,-,-,-,,0,,Greenland,"54,230.00",,77.26,,,,0,,
Grenada,90,0.09,563.8,3.06,33.3,0.02,-,,0,,Grenada,100,0,392.36,0,100,0,0,,
Guam,,,0,-,-,-,-,,0,,Guam,,,252.68,,,,0,,
Guatemala,"48,853","2,860.28","93,800.38","2,499.72","18,861.73","1,484.22",-,,0,,Guatemala,"18,700.00","5,400.00","33,595.72",4500,26100,8300,0,,
Guinea,"133,856","1,455,480.00","202,797.91",492.5,"3,991.42",107.76,"42,021",,"10,918.31",,Guinea,"145,000.00","1,168,500.00","277,760.27",4900,12100,200,"33,682.12",,"11,300.00"
Guinea-Bissau,"26,858","261,426.00","40,326.78",22.97,388.28,1.63,"3,265",,"4,218.48",,Guinea-Bissau,"30,200.00","293,300.00","117,223.54",400,1000,0,"4,281.10",,"3,000.00"
Guyana,"3,352",676.83,"20,299.35",46.94,59.27,5.11,-,,5.85,,Guyana,"1,700.00",500,"11,542.90",,,,0,,800
Haiti,"182,214","45,104.60","113,862.81",467.98,526.81,20.63,-,,91.39,,Haiti,"81,100.00","21,100.00","443,749.22",700,600,0,0,,"17,100.00"
Honduras,"15,567","1,109.86","70,453.58","1,457.24","1,661.42","1,088.77",-,,0,,Honduras,"7,300.00","3,100.00","20,363.55",3200,1800,5500,0,,
Hungary,"7,416",7.93,"7,907.77",-,-,-,-,,0,,Hungary,"3,900.00",0,"1,347.84",,,,0,,
Iceland,56,0.1,385.09,-,-,-,-,,0,,Iceland,0,0,96.55,,,,0,,
India,"15,546,900","2,562,790.00","9,265,136.14","138,735.60","138,535.40","10,449.48",-,,"1,495,678.00",,India,"20,452,300.00","5,569,000.00","6,224,163.71",274000,376000,27500,0,,"596,600.00"
Indonesia,"5,843,680","754,550.00","650,612.47","20,659.50","25,459.22","1,776.76",-,,"99,103.75",,Indonesia,"3,338,600.00","188,000.00","465,568.08",37800,64500,9300,474.92,,
Iran,"60,519",290.87,"114,605.33","1,261.48",424.15,0,-,,0,,Iran,"45,400.00",800,"20,255.36",1300,800,0,263.84,,"284,100.00"
Iraq,"61,339",46.8,461.89,372.34,526.38,19.93,"5,286",,0,,Iraq,"46,200.00",100,"12,291.55",1300,0,0,"5,287.52",,
Ireland,"1,063",1.74,"1,721.95",-,-,-,-,,0,,Ireland,900,0,935.82,,,,0,,
Israel,"1,184",3.35,"3,246.13",-,-,-,-,,0,,Israel,900,0,"2,860.66",,,,0,,
Italy,"12,100",15.02,"55,268.90",-,-,-,-,,0,,Italy,"10,200.00",0,"48,140.84",,,,0,,
Jamaica,814,2.32,"57,496.15",574.53,362.38,"3,135.65",-,,0,,Jamaica,"1,300.00",0,"7,739.07",1000,700,7600,0,,
Japan,"96,563",9.94,"6,731.32",-,-,-,-,,0,,Japan,"58,500.00",0,"9,460.15",,,,0,,
Jordan,"2,558",1.85,"1,269.46",709.1,297.72,5.08,-,,0,,Jordan,"1,000.00",0,373.07,1300,300,0,193.17,,
Kazakhstan,"129,006",4.84,"33,760.68","2,468.23",0.37,-,-,,0,,Kazakhstan,"118,500.00",0,"17,704.66",4300,0,,0,,
Kenya,"494,163","1,600,800.00","3,000,991.03","1,270.00","4,416.34",222.93,-,,"28,833.50",,Kenya,"789,600.00","658,800.00","2,906,561.48",5100,10500,300,"65,086.19",,"7,900.00"
Kiribati,"1,194",2.79,196.03,0.06,160.96,572.44,-,,13.16,,Kiribati,700,,27.76,,,,0,,
Kuwait,"2,795",2.72,"2,745.53",-,-,-,-,,0,,Kuwait,"1,300.00",0,278.12,,,,0,,
Kyrgyzstan,"36,449",9.3,"38,870.40","1,099.80",0.15,-,-,,0,,Kyrgyzstan,"30,100.00",0,"13,558.59",1700,0,,0,,
Lao People's Democratic Republic,"85,174","40,270.10","13,863.14",803.11,"1,392.80",420.11,"1,614",,"2,654.64",,Lao People's Democratic Republic,"61,400.00","8,300.00",0,,,,0,,100
Latvia,"4,608",6.48,"18,655.29",-,-,-,-,,0,,Latvia,"2,900.00",0,"6,217.89",,,,0,,
Lebanon,"3,456",1.06,"8,523.74",1.38,53.48,-,-,,0,,Lebanon,"1,400.00",0,"1,684.23",0,0,,1.27,,
Lesotho,"93,970",10.36,"680,409.75",203.54,"1,143.91","1,164.17",-,,0,,Lesotho,"172,100.00",0,"618,564.69",500,1900,2100,0,,
Liberia,"94,920","540,045.00","116,742.79",428.14,"1,948.65",145.01,"22,846",,"10,526.76",,Liberia,"59,200.00","242,600.00","122,584.29",900,5500,300,"12,562.41",51100,"5,300.00"
Libya,"7,940",1.78,"7,215.40",144.67,0.13,16.51,"4,704",,0,,Libya,"3,000.00",0,"2,502.09",200,0,0,"7,257.78",,
Lithuania,"10,655",6.8,"3,537.85",-,-,-,-,,0,,Lithuania,"7,900.00",0,"2,924.93",,,,0,,
Luxembourg,90,1.27,332.9,-,-,-,-,,0,,Luxembourg,100,0,204.88,,,,0,,
Madagascar,"180,999","787,324.00","202,962.27","11,916.76","4,003.66","1,333.14","112,420",,"32,751.82",,Madagascar,"187,600.00","372,200.00","124,421.85",16400,11100,10100,"36,195.90",,"45,100.00"
Malawi,"271,772","1,146,980.00","2,631,089.16",405.53,"1,749.52",14.2,"70,604",,"30,909.78",,Malawi,"377,300.00","418,500.00","2,267,245.23",4700,3600,0,"23,525.61",6400,"30,200.00"
Malaysia,"61,133","16,741.70","235,735.32","10,483.19","41,700.83","16,772.48",-,,0,,Malaysia,"63,200.00","13,900.00","83,925.14",32800,45900,88400,0,,"1,100.00"
Maldives,448,2.56,102.02,0.1,4.24,-,-,,75.79,,Maldives,300,0,41.31,0,0,,0,,
Mali,"179,698","3,225,830.00","333,827.16",70.26,"2,946.54",0.15,"39,455",,"29,804.99",,Mali,"142,500.00","2,963,600.00","269,479.56",4800,5900,0,"20,615.44",,"7,900.00"
Malta,85,0.13,142.58,-,-,-,-,,0,,Malta,0,0,129.78,,,,0,,
Marshall Islands,573,1.99,0,1.37,132.61,168.89,-,,14.38,,Marshall Islands,200,0,100.5,,,,0,,
Mauritania,"34,759","108,355.00","52,504.73",13.21,217.47,5.26,"10,682",,"11,151.83",,Mauritania,"33,700.00","132,800.00","31,170.37",500,300,0,"6,664.09",,
Mauritius,539,9.83,"23,976.07",0.36,14.43,-,891,,0,,Mauritius,600,0,"4,801.91",0,0,,"1,196.80",,
Mexico,"130,755",113.41,"253,760.01","8,764.66","87,555.80","7,283.73",-,,0,,Mexico,"99,000.00",100,"281,492.17",11700,300,18200,0,,
Micronesia (Federated States of),785,4.14,0,33.04,73.85,0.42,-,,27.79,,Micronesia (Federated States of),,,0,,,,0,,
Monaco,,,0,-,-,-,-,,0,,Monaco,,,0,,,,0,,
Mongolia,"25,608",0.96,"1,066.07",1.42,66.65,-,-,,0,,Mongolia,"25,900.00",0,158.42,100,0,,0,,
Montenegro,295,0.53,93.67,-,-,-,-,,0,,Montenegro,200,0,54.22,,,,0,,
Montserrat,,,0,-,-,-,-,,0,,Montserrat,,,0,,,,0,,
Morocco,"218,892",8.93,"77,078.49","1,693.18",0.74,117.03,-,,0,,Morocco,"102,300.00",400,"20,543.24",1500,100,200,"2,969.81",,
Mozambique,"540,212","3,360,590.00","3,853,078.93","1,603.13","8,003.00","8,528.97","137,996",,"44,717.64",,Mozambique,"589,300.00","2,751,600.00","4,837,317.92",5800,23400,15600,"22,857.61",,"41,100.00"
Myanmar,"1,122,430","1,225,710.00","1,098,668.52","5,281.18","1,937.53","3,360.54",-,,"17,741.51",,Myanmar,"851,600.00","553,700.00","453,127.51",19600,11200,28400,0,,"42,400.00"
Namibia,"42,917","24,977.40","260,588.37",14,801.79,"156,683.17",110,,0,,Namibia,"98,900.00","16,700.00","288,492.94",100,1800,0,"1,658.96",,
Nauru,,,0,-,-,-,-,,0,,Nauru,,,0,,,,0,,
Nepal,"359,659","30,423.00","217,743.66","3,383.66","20,541.97","1,903.24",-,,"11,083.46",,Nepal,"271,600.00","23,800.00","84,262.78",5900,46000,7100,0,,"10,900.00"
Netherlands,"3,059",5.52,"5,205.16",-,-,-,-,,0,,Netherlands,"2,400.00",0,"4,219.40",,,,0,,
New Caledonia,,,0,-,-,-,-,,0,,New Caledonia,,,0,,,,0,,
New Zealand,656,20.38,910.06,-,-,-,-,,0,,New Zealand,500,0,845.93,,,,0,,
Nicaragua,"14,091","1,712.03","4,338.15",299.36,504.01,99.6,-,,0,,Nicaragua,"7,100.00",700,"4,149.68",300,100,300,0,,"200,900.00"
Niger,"277,628","2,053,540.00","181,019.31",203.19,"1,167.09",0.01,"19,567",,"28,962.02",,Niger,"236,900.00","2,127,500.00","210,827.38",9000,1300,0,"14,345.75",,"11,500.00"
Nigeria,"1,936,960","25,052,500.00","9,011,591.94","54,932.90","20,980.32",508.55,"706,393",,"285,345.26",,Nigeria,"1,767,700.00","22,078,400.00","10,257,695.95",123200,57200,900,"338,691.27",213800,
Niue,,,0,-,-,-,-,,0,,Niue,,,0,,,,0,,
Northern Mariana Islands,,,0,-,-,-,-,,0,,Northern Mariana Islands,,,212.16,,,,0,,
Norway,796,2.07,"1,232.36",-,-,-,-,,0,,Norway,800,0,835.85,,,,0,,
Oman,"2,517",2.4,991.88,-,30.22,1.7,-,,0,,Oman,"1,400.00",0,"1,044.79",0,0,0,98.31,,
Pakistan,"2,452,820","214,312.00","202,141.18","24,821.10","2,262.59",34.13,-,,0,,Pakistan,"1,615,600.00","204,300.00","82,061.03",58100,5800,100,0,,
Palau,,,0,-,-,-,-,,0,,Palau,,,0,,,,0,,
Panama,"7,910",785.05,"43,933.63",222.94,0.13,-,-,,0,,Panama,"8,100.00","1,300.00","27,597.29",300,0,,0,,
Papua New Guinea,"126,224","120,896.00","88,385.90","1,451.00","13,116.14",-,-,,"2,000.88",,Papua New Guinea,"28,100.00","108,100.00","38,023.33",,,,0,,"9,100.00"
Paraguay,"12,488",6.66,"24,682.45",364.89,"1,214.90",7.49,-,,0,,Paraguay,"10,800.00",0,"5,193.68",400,4700,0,0,,
Peru,"108,016","1,272.50","130,900.63",-,714.89,475.28,-,,0,,Peru,"87,900.00","1,600.00","17,054.54",5000,2000,5300,0,,
Philippines,"1,234,630","49,318.90","19,334.20","26,025.50","75,815.80","35,425.38","23,865",,"27,661.49",,Philippines,"1,064,900.00","50,100.00","246,659.62",52000,100500,139100,"53,412.41",,"18,200.00"
Poland,"32,493",31.86,"12,075.66",-,-,-,-,,0,,Poland,"26,700.00",0,"7,489.53",,,,0,,
