,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Switzerland,276,0,"6,754.44",-,-,-,-,,0,,Switzerland,"1,300.00",0,"3,360.75",,,,0,,
Syrian Arab Republic,"24,011",0,"4,022.46",-,816,3.49,-,,0,,Syrian Arab Republic,"4,200.00",800,0,,,,0,,
Tajikistan,"39,001",804.16,"28,213.89",489.43,0.22,0,-,,0,,Tajikistan,"36,700.00","1,000.00","5,071.79",500,0,0,0,,
Tanzania,"523,767","3,216,420.00","4,674,416.77","1,163.27","21,796.46","1,109.94","138,049",,"4,126.61",,Tanzania,"904,000.00","2,425,300.00","3,731,739.94",12000,60200,2600,"121,130.04",19800,"105,600.00"
Thailand,"312,853","24,000.00","1,123,299.96",811.05,"16,255.55",15.37,-,,"13,128.49",,Thailand,"209,000.00","16,200.00","582,724.03",1300,56200,100,0,,0
The Former Yugoslav Republic of Macedonia,"2,181",1.82,"2,404.59",-,-,-,-,,0,,The Former Yugoslav Republic of Macedonia,"1,400.00",0,0,,,,0,,
Timor-Leste,,,0,81.39,219,12.7,-,,352.16,,Timor-Leste,"5,500.00","3,100.00","6,980.22",200,300,0,0,,"1,000.00"
Togo,"130,915","327,000.00","290,545.08",138.56,489.35,0.18,"22,614",,"3,082.64",,Togo,"58,500.00","510,900.00","321,171.50",1200,1100,0,"12,732.53",300,"1,000.00"
Tokelau,,,0,-,-,-,-,,0,,Tokelau,,,0,,,,0,,
Tonga,198,3.48,0,0.57,160.49,0.14,-,,9.79,,Tonga,100,0,152.52,0,0,0,0,,100
Trinidad and Tobago,"1,011",1.84,"29,330.21",3.07,31.35,0.13,-,,0,,Trinidad and Tobago,"1,400.00",0,"10,889.46",0,0,0,0,,
Tunisia,"10,746",2.71,"32,140.27",315.26,0.21,1.47,-,,0,,Tunisia,"5,100.00",0,"3,258.45",300,0,0,600.21,,
Turkey,"96,183",70.7,"6,757.62","1,602.53",1.55,211.21,-,,0,,Turkey,"42,700.00",700,"8,234.42",1100,300,100,468.82,,
Turkmenistan,"29,263",1.59,"22,889.27",124.84,0.19,-,-,,0,,Turkmenistan,"28,000.00",0,"11,683.36",,,,0,,
Turks and Caicos Islands,,,0,-,-,-,-,,0,,Turks and Caicos Islands,,,0,,,,0,,
Tuvalu,,,0,-,-,-,-,,0,,Tuvalu,,,0,,,,0,,
Uganda,"725,727","2,399,530.00","2,868,066.03",920.43,"9,607.76",179.74,"68,397",,"48,545.40",,Uganda,"716,200.00","2,478,500.00","2,910,563.99",9800,23600,200,"101,112.41",26000,"18,800.00"
Ukraine,"283,678",195.69,"1,044,023.08",-,-,-,-,,0,,Ukraine,"203,600.00",0,"393,688.70",,,,0,,
United Arab Emirates,"2,455",12.71,"12,128.99",1.97,65.8,-,-,,0,,United Arab Emirates,"2,600.00",100,"4,658.80",0,0,,0,,
United Kingdom of Great Britain and Northern Ireland,"17,055",17.93,"22,207.52",-,-,-,-,,0,,United Kingdom of Great Britain and Northern Ireland,"12,000.00",0,0,,,,0,,
United States,"39,160",817.95,"587,494.16",-,-,-,-,,0,,United States,"31,100.00",0,"420,453.60",,,,0,,
Uruguay,"2,562",0.93,"8,368.80",-,-,-,-,,0,,Uruguay,"1,900.00",0,"7,794.53",,,,0,,
US Virgin Islands,,,0,-,-,-,-,,0,,US Virgin Islands,,,0,,,,0,,
Uzbekistan,"157,641",43.93,"78,135.51",14.56,449.04,-,-,,0,,Uzbekistan,"141,200.00",100,"31,445.45",200,100,,0,,
Vanuatu,"2,119",474.54,0,86.5,433.44,18.28,-,,24.76,,Vanuatu,"1,500.00","1,300.00",375.41,200,500,0,0,,300
Venezuela,"32,536","1,023.35","277,018.19","4,522.16","9,751.15","3,864.38","1,932",,0,,Venezuela,"25,800.00","7,600.00","106,373.80",13800,7500,18900,"5,028.50",,
Viet Nam,"473,572","63,901.40","618,321.79","8,417.29","84,095.70",896.3,-,,"24,231.73",,Viet Nam,"386,600.00","19,600.00",0,67200,124500,22700,0,,600
Wallis and Futuna Islands,,,0,-,-,-,-,,0,,Wallis and Futuna Islands,,,0,,,,0,,
West Bank and Gaza Strip,,,0,-,-,-,-,,0,,West Bank and Gaza Strip,,,0,,,,0,,
Yemen,"176,224","298,580.00","8,210.10",-,820.7,5.98,"38,600",,122.77,,Yemen,"97,300.00","368,800.00","8,222.91",5300,1100,100,"9,865.65",,0
Zambia,"264,642","1,197,510.00","1,831,768.06",-,"7,654.33",5.06,"36,940",,"4,333.35",,Zambia,"414,300.00","1,035,100.00","1,952,805.11",3200,21500,0,"29,128.63",,"24,900.00"
Zimbabwe,"340,933","282,571.00","2,332,784.33",265.4,"6,024.45",397.58,"44,768",,"11,363.03",,Zimbabwe,"411,600.00","153,100.00","2,586,881.43",1400,14000,4700,"19,070.34",,"13,300.00"
