Impact Score'!FB5=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,LF,,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,,Total
Antigua and Barbuda,21.88,6.34,0,0,0,0.03,28.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0.07,2.71,0.03,0.17,2.25,0.21,0.11,0.18,0.87,0.36,0.02,10.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.78,,Antigua and Barbuda,0.29,1.86,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15
Argentina,"15,736.78","15,240.74",0,0,0,28.86,"31,006.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088600823,0,0,0,0,0,0,0,0,1.088600823,1.09,408.49,8.47,307.37,0.79,20.14,271.14,24.33,9.93,12.54,101.78,42.35,0.47,"1,207.82",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,215.29",,Argentina,226.95,"1,435.63",66.85,10.35,95.69,7.21,"1,842.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,842.68"
Armenia,72.82,"7,605.52",32.49,5.03,53.03,3.91,"7,772.79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.11,0.19,33.1,0.62,33.72,32.86,5.34,1.98,55.33,17.25,0,0,258.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,031.29",,Armenia,42.39,268.15,55.32,8.56,92.6,5.85,472.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.87
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,71.95,"2,876.76",4.36,0.68,6.37,0.26,"2,960.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0.11,8.43,0.16,8.64,8.29,1.31,0.55,14.05,4.26,0,0,65.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,026.09",,Australia,15.1,95.51,7.27,1.13,13.23,0.38,132.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.63
Austria,209.31,"2,030.41",2.99,0.46,4.11,0.29,"2,247.58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.12,0.31,0.01,0.43,0.28,0,0.11,0.46,0,0,0,2.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,250.16",,Austria,12.74,80.57,4.35,0.67,6.31,0.28,104.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.92
Azerbaijan,196.3,"37,000.43",31,4.8,87.14,35.98,"37,355.64",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098064516,0,0,0,0,0,0,0,0,0.098064516,0.1,126.59,0.29,53.71,0.99,54.68,53.04,8.59,3.17,89.8,27.8,0,0,418.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,774.42",,Azerbaijan,309.23,"1,956.15",260.19,40.28,457.77,62.14,"3,085.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,085.77"
Bahamas,93.36,143.77,0,0,0,0.21,237.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237.34,,Bahamas,1.83,11.56,1.52,0.24,2.16,1.3,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
Bahrain,31.22,"1,169.00",0,0,0,0.92,"1,201.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0.07,3.62,0.07,3.74,3.56,0.56,0.25,6.03,1.81,0,0,28.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,229.44",,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,"1,788.20","1,149,537.29",57.9,8.96,77.48,"1,482.84","1,152,952.67",687.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.47,1210.431045,0,0,0,0,0,0,0,0,1210.431045,"1,897.91",151.51,1.06,64,1.21,65.81,62.99,9.92,4.33,106.59,32.12,0,0,499.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,645.50",-,"2,645.50","1,158,683.09",,Bangladesh,"6,648.99","42,060.31","12,878.58","1,993.83","47,226.87","1,095.34","111,903.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,023.38",0,"10,023.38","121,927.29"
