,2010,,,,,,,,,,,2015,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Cape Verde,"1,566.99","3,119.09","5,962.26",0.24,9.63,0.06,-,,0,,Cape Verde,783.14,10.8,"4,907.57",-,0.84,0,0,,
Cayman Islands,,,0,-,-,-,-,,0,,Cayman Islands,-,,,-,-,-,0,,
Central African Republic,"143,960.00","512,419.00","488,382.99",314.26,"2,385.51",42.73,"3,076",,"1,407.62",,Central African Republic,"153,724.23","447,772.63","324,250.75",679.51,"2,348.06",37.93,"3,989.95","23,492.48","5,877.19"
Chad,"184,497.00","941,398.00","482,579.84",92.05,"4,298.03",0.21,"20,551",,"17,036.00",,Chad,"160,775.99","804,552.82","444,887.50","1,258.39","4,822.70",0.24,"31,018.12","14,033.03","11,623.99"
Chile,"14,689.90",5.02,"31,277.63",910.59,3.27,13.83,-,,0,,Chile,"11,206.66",0,"12,562.45",320.53,0.9,11.1,0,,
China,"1,732,860.00","11,717.30","1,751,701.14","34,593.90","617,875.60","3,196.92","250,588",,0,,China,"1,838,248.90","10,615.08","1,774,628.84","9,451.35","41,723.01","2,062.91","24,057.89",,"10,076.99"
"China, Hong Kong SAR",,,0,-,-,-,-,,0,,"China, Hong Kong SAR",-,,,-,-,-,0,,
"China, Macao SAR",,,0,-,-,-,-,,0,,"China, Macao SAR",-,,,-,-,-,0,,
Colombia,"51,304.60","4,189.72","479,459.81","9,528.06","11,107.27","2,268.43",-,,0,,Colombia,"26,552.00","3,985.96","109,597.61","7,460.49","19,670.83","1,745.72",0,,
Comoros,"10,215.30","34,835.70",14.26,140.45,316.33,203.39,-,,184.88,,Comoros,"8,092.16","3,596.80",780.26,98.61,252.2,180.98,0,,"1,301.32"
Congo,"57,706.70","291,255.00","244,565.50","1,578.52","1,444.99",710.22,"10,724",,"5,204.37",,Congo,"34,570.34","197,674.64","254,534.64","1,558.25","1,577.55",718.43,"9,332.81","1,932.14","4,108.92"
Cook Islands,,,0,-,-,-,-,,0,,Cook Islands,-,,,-,-,-,0,,
Costa Rica,"2,497.33",2.92,"8,818.84",393.53,"2,119.77",30.06,-,,61.1,,Costa Rica,"1,329.56",19.73,"7,038.76",161.76,472.95,22.88,0,,
Cote d Ivoire,"260,347.00","2,301,580.00","1,200,273.54","1,134.11","6,548.23",329.83,"69,761",,"49,678.38",,Cote d Ivoire,"195,999.00","2,288,468.27","1,129,917.40","1,543.97","4,010.51",167.61,0,,"21,140.10"
Croatia,"3,537.04",3.51,977.07,-,-,-,-,,0,,Croatia,"1,432.68",0,232.95,-,-,-,0,,
Cuba,"3,287.24",8.48,"21,117.20",871.31,"1,961.08",27.35,-,,0,,Cuba,"1,082.96",0,"15,722.04",535.01,"1,187.15",21.54,0,,
CuraAsao,,,0,-,-,-,-,,0,,CuraAsao,-,,,-,-,-,0,,
Cyprus,120.5,0.35,587.52,-,-,-,-,,0,,Cyprus,83.04,0,154.47,-,-,-,0,,
Czech Republic,"2,795.68",9.36,982.03,-,-,-,-,,0,,Czech Republic,"1,166.53",0,603.65,-,-,-,0,,
Democratic People's Republic of Korea,"173,864.00",31.99,"9,291.26","1,861.96",923.19,-,-,,0,,Democratic People's Republic of Korea,"68,452.40",,"22,035.27",-,-,-,0,,
Democratic Republic of the Congo,"1,754,630.00","8,244,140.00","2,734,090.23","18,821.92","24,432.30","4,615.53","141,918",,"10,056.32",,Democratic Republic of the Congo,"1,317,715.38","5,791,643.04","1,643,387.43","22,421.08","26,729.65","4,530.99","191,509.66","535,099.50","93,332.21"
Denmark,"1,032.16",1.7,"2,848.64",-,-,-,-,,0,,Denmark,604.68,0,"1,522.72",-,-,-,0,,
Djibouti,"11,210.80","12,312.80","53,315.59",21.08,59.42,77.54,"2,187",,0,,Djibouti,"10,618.18",226.67,"17,984.58",21.49,37.62,53.47,372.41,,
Dominica,77.66,0.06,363.23,0,0.67,-,-,,0,,Dominica,102.46,0,280.21,-,0.01,-,0,,
Dominican Republic,"20,860.60",751.81,"99,618.31",6.02,173,-,"3,275",,79.51,,Dominican Republic,"18,409.54",408.51,"90,202.33",-,0.14,-,"1,311.97",,245.29
Ecuador,"37,794.20","1,660.47","82,083.07","3,493.79",735.85,"1,619.44",-,,0,,Ecuador,"28,730.09","1,131.20","25,459.13","1,789.32",256.01,"1,325.76",0,,
Egypt,"83,146.50",20.95,"20,930.84","1,953.03","4,636.98",1.66,"105,965",,"4,776.83",,Egypt,"32,375.35",590.54,"10,382.43",556.74,"2,146.65",1.25,"41,739.08",,327.46
El Salvador,"5,037.55",6.96,"30,221.68",95.8,"1,624.16",18.42,-,,0,,El Salvador,"3,186.40",59.75,"24,303.87",21.18,81.77,3.98,0,,
Equatorial Guinea,"6,351.64","56,109.00","65,337.20",393.73,220.38,131.98,98,,754.42,,Equatorial Guinea,"5,186.64","77,418.85","42,117.18",452.08,243.55,138.65,606.81,"1,601.45",744.37
Eritrea,"114,905.00","208,190.00","92,497.79",141.34,220.64,89.72,"20,440",,0,,Eritrea,"89,069.50","29,160.55","37,506.49",398.12,140.77,37.9,"4,152.54",,"9,141.17"
Estonia,"1,796.60",4.33,"13,431.33",-,-,-,-,,0,,Estonia,933.25,0,"1,586.75",-,-,-,0,,
Ethiopia,"1,754,220.00","2,609,710.00","1,317,544.95","9,005.56","18,221.71","4,877.98","244,598",,"2,745.17",,Ethiopia,"1,748,128.53","184,456.15","1,181,361.11","13,808.33","27,153.47","4,719.98","210,340.91","31,214.36","105,045.24"
Fiji,"1,891.82",27.3,"1,127.68",158.14,"1,444.75",356.17,-,,98.18,,Fiji,"1,259.62",0,"1,088.06",110.7,357.53,318.76,0,,446.39
Finland,"1,475.37",1.69,"1,224.48",-,-,-,-,,0,,Finland,828.06,0,347.11,-,-,-,0,,
France,"20,139.70",18,"48,908.14",-,-,-,-,,0,,France,"12,755.58",0,"19,901.21",-,-,-,0,,
French Polynesia,,,0,-,-,-,-,,0,,French Polynesia,-,,,-,-,-,0,,
Gabon,"14,463.70","78,300.70","117,337.90",585.59,414.7,309.74,"5,520",,"1,173.70",,Gabon,"8,014.08","43,948.34","57,133.47",551.38,416.31,318.46,"3,248.37",,"2,047.27"
Gambia,"15,474.83","77,000.00","46,858.82",9.5,182.4,0.16,"2,065",,"2,661.34",,Gambia,"11,902.91","13,814.31","34,040.86",27.23,141.33,0.2,0,,"1,360.58"
Georgia,"13,817.90",5.7,"5,819.66",43.5,4.62,-,-,,0,,Georgia,"8,158.26",0,"1,271.14",2.75,0.04,-,0,,
