2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,LF,,,,Total,,2013,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,Onchocerciasis,,LF,,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ+PQ,Impact of DHA-PPQ+PQ,Impact of ART+NQ,Impact of ART+PPQ,Impact of AL+PQ,Impact of AS+AQ+PQ,Impact of SP,Impact of AS+MQ+PQ,Impact of QN+CL,Impact of QN+CD,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of DHA-PPQ,Impact of QN,Impact of AL,Impact of AL+PQ,Impact of AS,Impact of AS+AQ,Impact of AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Impact Score'!CP5=,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ+PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS+AQ,AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Belarus,605.78,"22,936.20",49.43,7.65,94.59,64.53,"23,758.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.5,0.68,128.77,2.3,130.94,125.11,20.03,7.36,215.41,65.15,0,0,998.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,756.46",,Belarus,632.12,"16,544.80",717.54,111.09,"1,072.78",77.22,"19,155.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.72,0,101.66,0,56.84,34.9,18.73,0,154.55,30.95,568.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,723.89"
Belgium,171.64,"3,403.93",4.28,0.66,7.05,0.32,"3,587.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,1.17,3.12,0.1,4.34,2.83,0,1.1,4.57,0.01,0,0,25.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,613.67",,Belgium,126.38,"2,277.59",2.7,0.42,3.3,0.28,"2,410.66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,410.66"
Belize,83.06,469.11,0,0,0,0.45,552.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.048059259,0,0,0,0,0,0,0,0,3.048059259,3.05,107.48,2.22,81.49,0.55,5.27,69.31,6.32,3.1,4.61,26.46,11.02,0.33,318.15,253.16,28.24,-,-,-,-,6.29,3.28,-,-,-,-,0,-,-,-,-,-,281.4,9.56,0,290.97,-,-,-,-,-,-,-,-,-,-,-,"1,164.79",,Belize,0,0,0.27,0.04,0.36,2.58,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.16,0.16,30.79,0,30.79,0,0,57.4,26.61,0,0,26.61,172.21,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0,0,0,0,0,0,19.24,0,19.24,0,0,0,0,0,0,0,0,0,0,0,0,0,194.87
Benin,"11,031.12","85,943.12",6.68,1.03,9.45,1.61,"96,993.01","3,933.44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,933.44",0,0,0,0,0,0,0,0,0,0,"3,933.44","1,339.73",26.73,561.33,10.88,592.6,536.05,76.13,50.51,925.3,248.89,0,0,"4,368.15",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,406.58,406.58,"105,701.18",,Benin,"8,861.17","66,416.18",1.32,0.2,8.87,73.06,"75,360.81","3,042.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,042.62",0,0,0,0,0,0,0,0,0,0,"3,042.62",273.64,0,163.74,0,90.98,54.34,28.93,0,248.23,47.85,907.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.21,0,0,0,131.21,"4,698.54","4,698.54",0,0,"1,244.06","1,244.06","85,384.95"
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0,0,0.23,0.1,0,0,0.1,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
Bhutan,558.67,"5,419.27",2.03,0.31,2.73,1.22,"5,984.23",1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,17.93252555,0,0,0,0,0,0,0,0,17.93252555,19.18,5.43,0.03,2.29,0.04,2.35,2.29,0.37,0.16,3.81,1.18,0,0,17.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,021.37",,Bhutan,2.18,"3,446.75",13.11,2.03,17.78,0.59,"3,482.44",2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,2.09,2.31,0,1.38,0,0.77,0.47,0.25,0,2.09,0.42,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,492.21"
Bolivia,"3,368.47","66,364.88",0,0,0,54.03,"69,787.38",0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,12.25,44.49995062,0,0,0,0,0,0,0,0,44.49995062,56.75,882.3,19.98,645.79,1.52,47.62,566.01,56.54,23.02,28.2,236.83,98.81,0.9,"2,607.52",2.82,2.73,-,-,-,-,40.31,31.14,-,-,-,-,0.22,-,-,-,-,-,5.55,71.45,0.22,77.22,-,-,-,-,-,-,-,-,-,-,-,"72,528.87",,Bolivia,491.17,"23,536.36",2.95,0.46,9.66,20.99,"24,061.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.41,0.41,24.57,0,24.57,0,0,45.69,21.11,0,0,21.11,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,199.06"
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,"7,324.15",0.93,0.14,1.15,0.76,"7,327.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.06,0.15,0,0.21,0.14,0,0.05,0.22,0,0,0,1.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,328.39",,Bosnia and Herzegovina,394.52,"3,748.29",0,0,0,0.43,"4,143.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,143.24"
Botswana,"10,886.40","8,361.09",19.95,3.09,31.97,2.95,"19,305.45","1,374.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,374.13",0,0,0,0,0,0,0,0,0,0,"1,374.13","2,881.51",26.96,"1,228.07",21.17,"1,264.82","1,140.17",169.34,81.61,"2,045.35",558.2,0,0,"9,417.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,"30,096.77",,Botswana,"19,844.83","18,464.91",0,0,0,40.4,"38,350.14",48.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.66,0,0,0,0,0,0,0,0,0,0,48.66,"1,571.13",0,946.47,0,520.93,300.13,158.19,0,"1,429.19",261.92,"5,187.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.27,0,0,0,54.27,0,0,0,0,0,0,"43,641.02"
Brazil,"42,346.81","278,876.56",126.27,19.55,174.57,74.13,"321,617.89",124.29,0,0,124.29,0,0,0,0,0,0,0,0,0,0,0,248.58,378.2215802,0,0,0,0,0,0,0,0,378.2215802,626.81,"9,531.11",205.01,"7,075.52",5.76,487.67,"6,313.14",587,221.38,252.36,"2,456.47","1,022.64",3.42,"28,161.49",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.13,-,-,25.13,"350,431.31",,Brazil,"27,303.09","205,527.95",160.25,24.81,202.55,27.52,"233,246.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.81,0,0,0,0,0,0,0,0,21.81,21.81,"3,279.60",0,"3,279.60",0,0,"6,097.83","2,818.23",0,0,"2,818.23","18,293.49",0,0,0,0,0,0,"16,165.19",0,0,0,0,0,0,0,0,0,0,0,0,"16,165.19",0,"16,165.19",0,0,520.14,0,0,0,520.14,0,0,64.97,0,0,64.97,"268,311.77"
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,1.93,658.87,0,0,0,0.5,661.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.01,0.19,0,0.21,0.19,0.03,0.02,0.31,0.08,0,0,1.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,662.81,,Brunei Darussalam,0,310.62,0,0,0,0.01,310.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.63
Bulgaria,8.51,"10,917.46",12.39,1.92,20.19,2.37,"10,962.83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.03,0.08,0,0.11,0.07,0,0.03,0.11,0,0,0,0.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,963.49",,Bulgaria,9.67,"4,766.88",0.56,0.09,3.65,1.38,"4,782.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,782.23"
Burkina Faso,"24,517.04","166,121.84",26.66,4.13,38.71,114.77,"190,823.14","155,547.59",0,0,0,"154,484.41",0,0,0,0,0,0,0,0,0,0,"310,032.00",0,0,0,0,0,0,0,0,0,0,"310,032.00","1,046.09",14.39,440.69,8.33,459.09,423.89,63.01,34.59,730.17,205.54,0,0,"3,425.80",0.42,0.5,-,-,-,-,13.97,18.52,-,-,-,-,0,-,-,-,-,-,0.92,32.49,0,33.41,-,-,-,-,-,-,-,-,-,-,-,"504,314.35",,Burkina Faso,"16,127.19","156,161.40",43.72,6.77,87.81,277.05,"172,703.94","5,125.95",0,0,0,0,"5,150.48",0,0,0,0,0,0,0,0,0,0,0,0,"10,276.43",0,0,0,0,0,0,0,0,0,0,"10,276.43","3,979.56",0,"2,386.38",0,"1,322.07",780.49,414.14,0,"3,613.21",685.25,"13,181.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"69,740.97",0,0,0,"69,740.97",0,0,0,0,"7,645.03","7,645.03","273,547.47"
Burundi,"77,076.82","376,927.12",37.51,5.81,56.79,44.12,"454,148.16",0,0,0,0,"130,236.61",0,0,0,0,0,0,0,0,0,0,"130,236.61",0,0,0,0,0,0,0,0,0,0,"130,236.61","3,926.47",49.93,"1,649.74",32.03,"1,717.23","1,616.89",245.61,129.39,"2,734.29",796.13,0,0,"12,897.71","1,320.04","2,931.20",-,-,-,-,"3,836.52","8,176.70",-,-,-,-,37.94,-,-,-,-,-,"4,251.24","12,013.23",37.94,"16,302.41",-,-,-,-,-,-,-,-,-,-,-,"613,584.89",,Burundi,"34,476.26","280,748.04",44.84,6.94,57.62,54.47,"315,388.17",0,0,0,0,0,"6,151.68",0,0,0,0,0,0,0,0,0,0,0,0,"6,151.68",0,0,0,0,0,0,0,0,0,0,"6,151.68","1,867.08",0,"1,120.51",0,620.08,364.5,193.18,0,"1,695.77",319.67,"6,180.78","20,948.76","6,271.29",0,0,0,0,"28,548.31","16,274.47",0,0,0,0,107.5,0,0,0,0,0,"27,220.05","44,822.78",107.5,"72,150.34",0,0,578.94,0,0,0,578.94,"10,122.48","10,122.48",0,0,0,0,"410,572.40"
Cambodia,"10,054.76","207,875.49",3.78,0.58,5.13,69.39,"218,009.12",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,322.08",29.28,555.76,10.36,588.91,514.69,70.02,50.71,915.61,231.1,0,0,"4,288.53",-,532.84,-,-,-,-,-,293.34,-,-,-,-,-,-,-,-,-,-,532.84,293.34,-,826.18,-,-,-,-,-,-,-,-,-,-,-,"223,123.83",,Cambodia,"3,281.61","116,235.14",0,0,0,104.73,"119,621.49",0,0,0,0,0,0,"16,799.53",0,0,0,0,0,0,0,0,0,0,0,"16,799.53",0,0,0,0,0,0,0,0,0,0,"16,799.53","1,952.41",0,"1,179.69",0,646.37,366.72,192.49,0,"1,778.18",318.84,"6,434.69",0,"6,268.67",0,0,0,0,0,"3,806.41",0,0,0,0,0,0,0,0,0,0,"6,268.67","3,806.41",0,"10,075.09",0,0,"114,491.04",0,0,0,"114,491.04",0,0,0,0,0,0,"267,421.83"
Cameroon,"57,998.38","109,235.37",7.08,1.1,10.72,91.02,"167,343.66",0,0,0,0,"26,035.60",0,0,0,0,0,0,0,0,0,0,"26,035.60",0,0,0,0,0,0,0,0,0,0,"26,035.60","49,591.04",616.23,"20,862.13",401.09,"21,693.88","20,353.27","3,085.36","1,614.05","34,590.44","10,016.95",0,0,"162,824.43",-,"126,127.33",-,-,-,-,-,"16,401.96",-,-,-,-,-,-,-,-,-,-,"126,127.33","16,401.96",-,"142,529.29",-,-,-,-,-,-,-,-,-,"1,161.32","1,161.32","499,894.31",,Cameroon,"50,056.82","115,031.22",0,0,0,161.22,"165,249.26",0,0,0,0,0,"7,573.42",0,0,0,0,0,0,0,0,0,0,0,0,"7,573.42",0,0,0,0,0,0,0,0,0,0,"7,573.42","12,649.06",0,"7,537.91",0,"4,210.53","2,573.74","1,379.20",0,"11,454.53","2,279.83","42,084.80",0,"490,682.72",0,0,0,0,0,"237,806.23",0,0,0,0,0,0,0,0,0,0,"490,682.72","237,806.23",0,"728,488.95",0,0,387.58,0,0,0,387.58,"14,294.86","14,294.86",0,0,"12,456.03","12,456.03","970,534.89"
Canada,299.53,"4,956.03",3.99,0.62,5.05,0.1,"5,265.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.85,1.43,46.83,0.06,3.41,41.43,4.06,1.58,1.85,17.01,7.09,0.04,188.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,453.97",,Canada,249.81,"3,166.60",2.81,0.44,4.22,0.14,"3,424.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,13.08,6.07,0,0,6.07,39.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,463.25"
Cape Verde,152.21,"1,476.51",0,0,0,1.29,"1,630.01",408.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.95,0,0,0,0,0,0,0,0,0,0,408.95,0.64,0.1,0.23,0.01,0.32,0.22,0,0.09,0.33,0,0,0,1.93,0.06,0.1,-,-,-,-,0.92,1.83,-,-,-,-,0,-,-,-,-,-,0.16,2.75,0,2.91,-,-,-,-,-,-,-,-,-,-,-,"2,043.79",,Cape Verde,95.95,"1,509.83",0,0,0,1.43,"1,607.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.11,0,15.01,0,8.35,5.01,2.67,0,22.77,4.42,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,690.55"
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,"43,434.33","129,712.52",0,0,0,2.44,"173,149.29","14,923.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,923.33",0,0,0,0,0,0,0,0,0,0,"14,923.33","6,514.23",47.9,"2,747.08",52.66,"2,827.98","2,721.64",430.09,189.84,"4,572.64","1,389.41",0,0,"21,493.50",528.55,"1,316.81",-,-,-,-,"1,427.45","3,310.17",-,-,-,-,5.05,-,-,-,-,-,"1,845.36","4,737.62",5.05,"6,588.03",-,-,-,-,-,-,-,-,-,10.11,10.11,"216,164.26",,Central African Republic,"39,184.40","82,939.37",13.76,2.13,19.61,188.26,"122,347.53","1,351.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,351.59",0,0,0,0,0,0,0,0,0,0,"1,351.59","1,469.23",0,874.65,0,489.19,300.8,161.47,0,"1,329.90",266.86,"4,892.10","8,110.43","20,816.92",0,0,0,0,"4,525.13","42,664.96",0,0,0,0,7.58,0,0,0,0,0,"28,927.35","47,190.09",7.58,"76,125.02",0,0,25.15,0,0,0,25.15,365.12,365.12,0,0,0,0,"205,106.51"
Chad,"24,045.96","164,966.02",0,0,0,151.55,"189,163.52","4,199.75",0,0,0,"4,095.49",0,0,0,0,0,0,0,0,0,0,"8,295.24",0,0,0,0,0,0,0,0,0,0,"8,295.24","11,305.02",115.84,"4,770.62",89.93,"4,935.60","4,637.90",710.16,346.94,"7,925.68","2,308.58",0,0,"37,146.26",79.91,118.3,-,-,-,-,"1,143.32","1,944.87",-,-,-,-,0.01,-,-,-,-,-,198.21,"3,088.19",0.01,"3,286.41",,-,,-,-,-,-,-,-,-,-,"237,891.43",,Chad,"35,385.00","166,952.88",0,0,0,188.16,"202,526.04","2,003.09",0,0,0,0,"2,043.06",0,0,0,0,0,0,0,0,0,0,0,0,"4,046.15",0,0,0,0,0,0,0,0,0,0,"4,046.15","2,294.61",0,"1,368.18",0,763.71,465.34,249.14,0,"2,078.40",411.86,"7,631.24",0,"288,755.09",0,0,0,0,0,"214,090.13",0,0,0,0,0,0,0,0,0,0,"288,755.09","214,090.13",0,"502,845.22",0,0,"1,205.68",0,0,0,"1,205.68","1,029.33","1,029.33",0,0,0,0,"719,283.66"
Chile,"1,732.16","16,802.66",3.26,0.51,4.48,1.34,"18,544.42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.06,6.8,244.53,0.3,16.16,218.14,19.54,7.48,8.76,81.76,34.01,0.18,963.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,508.12",,Chile,"2,276.20","11,508.97",3.93,0.61,11.65,1.03,"13,802.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.19,0,24.19,0,0,44.97,20.79,0,0,20.79,134.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,937.32"
China,"40,909.81","1,845,747.12",118.59,18.36,172.03,"1,334.31","1,888,300.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.7118835,0,0,0,0,0,0,0,0,406.7118835,406.71,"17,308.67",76.07,"7,327.43",137.01,"7,493.67","7,234.76","1,158.83",461.49,"12,229.26","3,748.43",0,0,"57,175.62",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"312,845.33",-,-,-,"312,845.33",-,-,-,-,"2,258,727.89",,China,"16,345.61","1,621,083.12",88.93,13.77,116.76,"1,377.00","1,639,025.20",0,0,0,0,10.44,10.58,0,0,0,0,0,0,5.34,0,0,0,0,0,26.37,0,0,0,0,0,0,0,0,0,0,26.37,"8,677.77",0,"5,174.01",0,"2,888.22","1,760.20",942.44,0,"7,860.01","1,557.99","28,860.63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.84,0,0,0,947.84,0,0,0,0,0,0,"1,668,860.04"
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
