2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,LF,,,,Total,,2013,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,Onchocerciasis,,LF,,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ+PQ,Impact of DHA-PPQ+PQ,Impact of ART+NQ,Impact of ART+PPQ,Impact of AL+PQ,Impact of AS+AQ+PQ,Impact of SP,Impact of AS+MQ+PQ,Impact of QN+CL,Impact of QN+CD,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of DHA-PPQ,Impact of QN,Impact of AL,Impact of AL+PQ,Impact of AS,Impact of AS+AQ,Impact of AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Impact Score'!CP5=,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ+PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS+AQ,AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Argentina,"15,736.78","15,240.74",0,0,0,28.86,"31,006.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088600823,0,0,0,0,0,0,0,0,1.088600823,1.09,408.49,8.47,307.37,0.79,20.14,271.14,24.33,9.93,12.54,101.78,42.35,0.47,"1,207.82",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,215.29",,Argentina,"6,082.78","18,175.40",0,0,0,6.33,"24,264.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.26,0,35.26,0,0,65.78,30.52,0,0,30.52,197.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,461.84"
Armenia,72.82,"7,605.52",32.49,5.03,53.03,3.91,"7,772.79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.11,0.19,33.1,0.62,33.72,32.86,5.34,1.98,55.33,17.25,0,0,258.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,031.29",,Armenia,178.39,"5,102.89",19.13,2.96,32.02,4.92,"5,340.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,4.3,0,2.41,1.48,0.8,0,6.55,1.31,24.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,364.38"
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,71.95,"2,876.76",4.36,0.68,6.37,0.26,"2,960.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0.11,8.43,0.16,8.64,8.29,1.31,0.55,14.05,4.26,0,0,65.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,026.09",,Australia,38.83,"2,082.06",1.94,0.3,4.26,0.32,"2,127.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,0,7.68,0,4.27,2.56,1.36,0,11.64,2.26,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,170.31"
Austria,209.31,"2,030.41",2.99,0.46,4.11,0.29,"2,247.58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.12,0.31,0.01,0.43,0.28,0,0.11,0.46,0,0,0,2.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,250.16",,Austria,135.65,"1,288.76",0.25,0.04,0.36,0.51,"1,425.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,425.56"
Azerbaijan,196.3,"37,000.43",31,4.8,87.14,35.98,"37,355.64",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098064516,0,0,0,0,0,0,0,0,0.098064516,0.1,126.59,0.29,53.71,0.99,54.68,53.04,8.59,3.17,89.8,27.8,0,0,418.67,8.68,-,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-,8.68,0.03,-,8.71,-,-,-,-,-,-,-,-,-,-,-,"37,783.13",,Azerbaijan,330.43,"29,356.63",50.15,7.76,88.24,54.78,"29,887.99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,0,16.92,0,9.45,5.79,3.1,0,25.71,5.13,94.5,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.5,0,0,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,070.98"
Bahamas,93.36,143.77,0,0,0,0.21,237.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237.34,,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,31.22,"1,169.00",0,0,0,0.92,"1,201.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0.07,3.62,0.07,3.74,3.56,0.56,0.25,6.03,1.81,0,0,28.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,229.44",,Bahrain,24.34,476.79,0,0,0,0.06,501.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,1.1,0,0.61,0.37,0.2,0,1.67,0.32,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.28
Bangladesh,"1,788.20","1,149,537.29",57.9,8.96,77.48,"1,482.84","1,152,952.67",687.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.47,1210.431045,0,0,0,0,0,0,0,0,1210.431045,"1,897.91",151.51,1.06,64,1.21,65.81,62.99,9.92,4.33,106.59,32.12,0,0,499.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,233.04",-,"2,233.04","1,157,583.14",,Bangladesh,"11,122.74","464,203.90",0,0,0,847.59,"476,174.23",41.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.85,0,0,0,0,0,0,0,0,0,0,41.85,28.35,0,16.86,0,9.44,5.85,3.15,0,25.65,5.2,94.5,0,0,0,504.68,0,0,0,0,0,161.49,0,0,0,0,0,0,0,0,504.68,161.49,0,666.17,0,0,0,0,0,0,0,0,0,0,"1,185.31",0,"1,185.31","478,162.07"
Barbados,19.65,56.96,0,0,0,0.06,76.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,0.14,5.03,0.03,0.34,4.31,0.41,0.19,0.27,1.71,0.71,0.02,19.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.55,,Barbados,193.24,0,0,0,0,0.24,193.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,1.27,0,0,2.38,1.1,0,0,1.1,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.62
